date,daily_score,weighted_tries,attempts,sends,mean_grade,max_grade,mean_grade_weight,max_grade_weight,leaky_load_3d,leaky_load_7d
2024-04-18,8.854233051067665,11.0,17.0,5.0,4.294117647058823,7.0,0.9109938654277763,2.0137527074704766,8.854233051067665,8.854233051067665
2024-04-19,0.0,0.0,0.0,0.0,,,,,6.344335212207275,7.675538951208179
2024-04-20,10.69839450604426,15.5,19.0,12.0,3.8421052631578947,6.0,0.7583120147547835,1.4190675485932571,15.244309330366576,17.35214959151832
2024-04-21,0.0,0.0,0.0,0.0,,,,,10.923024943279806,15.042194994046373
2024-04-22,0.0,0.0,0.0,0.0,,,,,7.82668937803847,13.039746404071614
2024-04-23,47.970966653700124,9.0,16.0,2.0,9.0,11.0,5.889827826105096,8.166169912567646,53.57903465119998,59.27483462973671
2024-04-24,8.839057874438298,5.0,7.0,3.0,6.142857142857143,8.0,1.771628154602882,2.8576511180631634,47.230113792341086,60.223102026303785
2024-04-25,0.0,0.0,0.0,0.0,,,,,33.84185533417536,52.20607620100313
2024-04-26,13.010152786574698,11.5,16.0,7.0,5.375,7.0,1.3292388148136247,2.0137527074704766,37.25890174141995,58.26644647789823
2024-04-27,0.0,0.0,0.0,0.0,,,,,26.697169695319673,50.50989474866678
2024-04-28,0.0,0.0,0.0,0.0,,,,,19.129357990398255,43.78591147632699
2024-04-29,4.127816976626617,4.0,5.0,3.0,4.6,7.0,0.9665010132690661,2.0137527074704766,17.834600927921866,42.08485595587233
2024-04-30,42.01848629168835,12.5,22.0,3.0,7.636363636363637,11.0,3.76872334483027,8.166169912567646,54.79753626813272,78.50091783400387
2024-05-01,0.0,0.0,0.0,0.0,,,,,39.264150478419886,68.05071078040285
2024-05-02,0.0,0.0,0.0,0.0,,,,,28.133993200868677,58.991657237822665
2024-05-03,17.26380802801719,3.0,6.0,0.0,10.0,10.0,5.754602676005731,5.754602676005731,37.4226950479097,68.4023719571235
2024-05-04,0.0,0.0,0.0,0.0,,,,,26.81453272788199,59.296504540121944
2024-05-05,20.985323060953856,24.5,28.0,21.0,4.25,7.0,0.9097551708013693,2.0137527074704766,40.198775338886904,72.38815237922188
2024-05-06,0.0,0.0,0.0,0.0,,,,,28.803681177033955,62.75168950129597
2024-05-07,0.0,0.0,0.0,0.0,,,,,20.638739423129724,54.398052800658974
2024-05-08,25.659008763267313,9.0,15.0,3.0,7.466666666666667,10.0,3.3581030042913804,5.754602676005731,40.447311770713384,72.81547852560205
2024-05-09,0.0,0.0,0.0,0.0,,,,,28.981765312255913,63.12212909357835
2024-05-10,20.5718994027684,19.5,21.0,18.0,5.0,7.0,1.0781263607456963,2.0137527074704766,41.33824168470112,75.29107809916944
2024-05-11,0.0,0.0,0.0,0.0,,,,,29.62014449115494,65.2681716525349
2024-05-12,0.0,0.0,0.0,0.0,,,,,21.223760951632254,56.579535562683795
2024-05-13,18.940744253661816,8.5,14.0,3.0,6.857142857142857,9.0,2.5544675328934328,4.0551999668446745,34.14823350363969,67.98829321108185
2024-05-14,0.0,0.0,0.0,0.0,,,,,24.468278506142724,58.937548826422166
2024-05-15,0.0,0.0,0.0,0.0,,,,,17.532287665490923,51.091658543072626
2024-05-16,33.116101038030976,14.5,24.0,5.0,6.791666666666667,10.0,2.6474648320940344,5.754602676005731,45.67853409634186,77.4063306906032
2024-05-17,9.055199966844675,6.0,11.0,1.0,5.7272727272727275,9.0,1.5554909030626682,4.0551999668446745,41.785299867986026,76.15703734328281
2024-05-18,0.0,0.0,0.0,0.0,,,,,29.940475677126813,66.01885258334116
2024-05-19,33.05627002743545,22.5,35.0,10.0,5.228571428571429,10.0,1.7552316026656956,5.754602676005731,54.50955830356979,90.28655429879908
2024-05-20,27.8276964237201,12.5,21.0,4.0,6.714285714285714,9.0,2.589928518435504,4.0551999668446745,66.88550167377534,106.09511498994377
2024-05-21,0.0,0.0,0.0,0.0,,,,,47.92555617269562,91.97151045623646
2024-05-22,0.0,0.0,0.0,0.0,,,,,34.34016157439935,79.72806982115412
2024-05-23,7.564374015437584,10.0,14.0,6.0,4.214285714285714,6.0,0.8304465596138264,1.4190675485932571,32.17017499365763,76.6788757331355
2024-05-24,0.0,0.0,0.0,0.0,,,,,23.050937649593646,66.47122275074567
2024-05-25,0.0,0.0,0.0,0.0,,,,,16.516718564018035,57.62243397199289
2024-05-26,27.852373711318766,10.5,20.0,1.0,7.8,8.0,2.750002966645941,2.8576511180631634,39.68711971037304,77.80398825145348
2024-05-27,2.2193726754744585,9.0,9.0,9.0,1.0,1.0,0.2465969639416065,0.2465969639416065,30.656436574446914,69.66593060308226
2024-05-28,0.0,0.0,0.0,0.0,,,,,21.966296676210696,60.39185560534185
2024-05-29,30.524582640034716,31.0,40.0,22.0,4.675,10.0,1.0800494113001269,5.754602676005731,46.264121985892636,82.87694758920969
2024-05-30,0.0,0.0,0.0,0.0,,,,,33.14969195909731,71.84419426383997
2024-05-31,0.0,0.0,0.0,0.0,,,,,23.7527922245694,62.280144232681636
2024-06-01,0.0,0.0,0.0,0.0,,,,,17.019619342457624,53.98928062856544
2024-06-02,38.06131194255981,7.5,15.0,0.0,9.6,10.0,5.074841592341309,5.754602676005731,50.25640209547799,84.86342614287378
2024-06-03,0.0,0.0,0.0,0.0,,,,,36.010285658196175,73.56622862033907
2024-06-04,11.78054222136381,5.0,9.0,1.0,7.333333333333333,8.0,2.579016299290718,2.8576511180631634,37.58303939816764,75.55347998030504
2024-06-05,12.753678701834671,6.0,10.0,2.0,7.2,8.0,2.2074537147605606,2.8576511180631634,39.68310317715009,78.24932074597889
2024-06-06,0.0,0.0,0.0,0.0,,,,,28.434185927158254,67.8326068251525
2024-06-07,25.765873952463664,22.0,24.0,20.0,5.166666666666667,7.0,1.1973938785886031,2.0137527074704766,46.13985845994917,84.56846169163168
2024-06-08,0.0,0.0,0.0,0.0,,,,,33.06065325199651,73.31053045634536
2024-06-09,29.576511180631634,11.0,21.0,1.0,7.857142857142857,8.0,2.7691915410125367,2.8576511180631634,53.26550438371031,93.12778985220002
2024-06-10,0.0,0.0,0.0,0.0,,,,,38.16640166443386,80.73042287545142
2024-06-11,2.925410862822991,2.5,3.0,2.0,5.333333333333333,8.0,1.451412140618191,2.8576511180631634,30.27283266732544,72.90883029103833
2024-06-12,0.0,0.0,0.0,0.0,,,,,21.691432465899716,63.203053675937724
2024-06-13,22.432383385473727,8.5,16.0,1.0,7.8125,8.0,2.741547923184216,2.8576511180631634,37.97497391848769,77.22171381386862
2024-06-14,29.62008106868598,24.5,29.0,20.0,5.413793103448276,7.0,1.2753697096832224,2.0137527074704766,56.830338899505435,96.56187815476198
2024-06-15,0.0,0.0,0.0,0.0,,,,,40.720717212015224,83.70735813073301
2024-06-16,22.432383385473727,8.5,16.0,1.0,7.8125,8.0,2.741547923184216,2.8576511180631634,51.61005225690366,94.99644219547984
2024-06-17,0.0,0.0,0.0,0.0,,,,,36.98021838242093,82.3503162941571
2024-06-18,23.667378813755096,8.0,14.0,2.0,8.0,9.0,3.105507607817645,4.0551999668446745,50.1648631566161,95.05504804659715
