date,daily_load,attempts,sends,mean_grade,max_grade,readiness
2024-04-18,361.0,17.0,5.0,4.294117647058823,7.0,0.0
2024-04-19,0.0,0.0,0.0,,,361.0
2024-04-20,327.0,19.0,12.0,3.8421052631578947,6.0,312.9429218098156
2024-04-21,0.0,0.0,0.0,,,598.2833028001783
2024-04-22,0.0,0.0,0.0,,,518.6385729870204
2024-04-23,1438.0,16.0,2.0,9.0,11.0,449.5963168804195
2024-04-24,285.0,7.0,3.0,6.142857142857143,8.0,1827.745110912715
2024-04-25,0.0,0.0,0.0,,,1869.4318430266771
2024-04-26,508.0,16.0,7.0,5.375,7.0,1620.569149809077
2024-04-27,0.0,0.0,0.0,,,1912.8355809864302
2024-04-28,0.0,0.0,0.0,,,1658.194891012935
2024-04-29,113.0,5.0,3.0,4.6,7.0,1437.4525044977743
2024-04-30,1486.0,22.0,3.0,7.636363636363637,11.0,1359.095808089669
2024-05-01,0.0,0.0,0.0,,,2664.1701196760478
2024-05-02,0.0,0.0,0.0,,,2309.510197921962
2024-05-03,600.0,6.0,0.0,10.0,10.0,2002.0633498262166
2024-05-04,0.0,0.0,0.0,,,2335.544471864164
2024-05-05,593.0,28.0,21.0,4.25,7.0,2024.6318865427534
2024-05-06,0.0,0.0,0.0,,,2348.1086375734303
2024-05-07,0.0,0.0,0.0,,,2035.5234841249155
2024-05-08,974.0,15.0,3.0,7.466666666666667,10.0,1764.550322810379
2024-05-09,0.0,0.0,0.0,,,2503.649677841366
2024-05-10,549.0,21.0,18.0,5.0,7.0,2170.358574437342
2024-05-11,0.0,0.0,0.0,,,2430.4358827130413
2024-05-12,0.0,0.0,0.0,,,2106.89115348376
2024-05-13,744.0,14.0,3.0,6.857142857142857,9.0,1826.4173781342392
2024-05-14,0.0,0.0,0.0,,,2327.2808608242426
2024-05-15,0.0,0.0,0.0,,,2017.4683447601142
2024-05-16,1275.0,24.0,5.0,6.791666666666667,10.0,1748.898721518123
2024-05-17,387.0,11.0,1.0,5.7272727272727275,9.0,2791.081650585408
2024-05-18,0.0,0.0,0.0,,,2806.526999290749
2024-05-19,1251.0,35.0,10.0,5.228571428571429,10.0,2432.9162307373435
2024-05-20,1121.0,21.0,4.0,6.714285714285714,9.0,3360.0413123697167
2024-05-21,0.0,0.0,0.0,,,4033.745555940904
2024-05-22,0.0,0.0,0.0,,,3496.7648756606795
2024-05-23,273.0,14.0,6.0,4.214285714285714,6.0,3031.2681913329347
2024-05-24,0.0,0.0,0.0,,,2900.7394032822262
2024-05-25,0.0,0.0,0.0,,,2514.586881639891
2024-05-26,1232.0,20.0,1.0,7.8,8.0,2179.8397946953473
2024-05-27,9.0,9.0,9.0,1.0,1.0,3121.65494301737
2024-05-28,0.0,0.0,0.0,,,2715.0936807476705
2024-05-29,985.0,40.0,22.0,4.675,10.0,2353.6547075915305
2024-05-30,0.0,0.0,0.0,,,3025.331249654074
2024-05-31,0.0,0.0,0.0,,,2622.592799748716
2024-06-01,0.0,0.0,0.0,,,2273.4677381461156
2024-06-02,1386.0,15.0,0.0,9.6,10.0,1970.8189379939006
2024-06-03,0.0,0.0,0.0,,,3094.4593817560362
2024-06-04,516.0,9.0,1.0,7.333333333333333,8.0,2682.518449718918
2024-06-05,522.0,10.0,2.0,7.2,8.0,2841.4159597334487
2024-06-06,0.0,0.0,0.0,,,2985.1606994903786
2024-06-07,694.0,24.0,20.0,5.166666666666667,7.0,2587.769837591002
2024-06-08,0.0,0.0,0.0,,,2937.2804818477566
2024-06-09,1305.0,21.0,1.0,7.857142857142857,8.0,2546.263535081385
2024-06-10,0.0,0.0,0.0,,,3512.299585501824
2024-06-11,98.0,3.0,2.0,5.333333333333333,8.0,3044.7348879732544
2024-06-12,0.0,0.0,0.0,,,2737.4133849823593
2024-06-13,985.0,16.0,1.0,7.8125,8.0,2373.003165921543
2024-06-14,909.0,29.0,20.0,5.413793103448276,7.0,3042.1040005745986
2024-06-15,0.0,0.0,0.0,,,3546.132726839733
2024-06-16,985.0,16.0,1.0,7.8125,8.0,3074.064090478212
2024-06-17,0.0,0.0,0.0,,,3649.8382224512047
2024-06-18,920.0,14.0,2.0,8.0,9.0,3163.9640927064365
2024-06-19,839.0,16.0,7.0,6.3125,10.0,3662.7705475703447
2024-06-20,0.0,0.0,0.0,,,4014.174839544603
2024-06-21,0.0,0.0,0.0,,,3479.7994541344474
2024-06-22,0.0,0.0,0.0,,,3016.5612423518983
2024-06-23,0.0,0.0,0.0,,,2614.990274237812
2024-06-24,0.0,0.0,0.0,,,2266.877276798426
2024-06-25,0.0,0.0,0.0,,,1965.1058127024305
2024-06-26,0.0,1.0,0.0,0.0,0.0,1703.5067997023566
2024-06-27,0.0,0.0,0.0,,,1476.7323967361322
2024-06-28,0.0,0.0,0.0,,,1280.1466785756702
2024-06-29,0.0,0.0,0.0,,,1109.7308640958477
2024-06-30,352.0,11.0,6.0,5.090909090909091,9.0,962.0011607553627
