tau,mean_log_loss,mean_auc,n_folds
7,0.3836274638143872,0.9051767587246837,5
5,0.38365304697159225,0.9047911550561629,5
10,0.38378462780667505,0.9055757920725236,5
14,0.3840665832868695,0.9054546952603731,5
3,0.38422330984805786,0.90410066630111,5
21,0.3843869676903076,0.9060842439202752,5
30,0.38454449407961194,0.9063145541942019,5
2,0.38529034941763285,0.9038266701069736,5
45,0.38602092668431054,0.9073243338583399,5
1,0.38770144987733,0.9037471370957665,5
60,0.3888957179336364,0.9066252011981387,5
90,0.394967383263255,0.9062368771543186,5
120,0.399894885936555,0.9054568286320859,5
