date,actual_send_rate,predicted_send_probability,grade_only_expected_send_probability,performance_residual,attempts,mean_grade,readiness
2024-04-18,0.29411764705882354,0.4560942429655643,0.5540598094314414,-0.2599421623726178,17,4.294117647058823,0.0
2024-04-20,0.631578947368421,0.5386278670341819,0.6161375287564309,0.01544141861199017,19,3.8421052631578947,326.64630791098136
2024-04-23,0.125,0.13475250656907867,0.16374323939816893,-0.03874323939816892,16,9.0,509.71049287536573
2024-04-24,0.42857142857142855,0.3068705868129625,0.29824298001901306,0.13032844855241552,7,6.142857142857143,1899.2051263191822
2024-04-26,0.4375,0.38633758662484935,0.3817748918436905,0.0557251081563095,16,5.375,1812.8163074611161
2024-04-29,0.6,0.5555443013136191,0.5457238255497785,0.0542761744502215,5,4.6,1758.8825738797605
2024-04-30,0.13636363636363635,0.18400522967006017,0.18637028972313907,-0.05000665335950272,22,7.636363636363637,1704.5027667778052
2024-05-03,0.0,0.006705322425523043,0.006434427060814574,-0.006434427060814574,6,10.0,2479.3606059052795
2024-05-05,0.75,0.6073123878822475,0.5548906625687448,0.19510933743125522,28,4.25,2572.8312268462864
2024-05-08,0.2,0.22022721241399656,0.21396679159268495,-0.013966791592684961,15,7.466666666666667,2391.50758816187
2024-05-10,0.8571428571428571,0.5278203694997669,0.44956861114227853,0.4075742460005786,21,5.0,2839.3124538145003
2024-05-13,0.21428571428571427,0.2570011407683647,0.23494835791555055,-0.020662643629836268,14,6.857142857142857,2552.8975834341118
2024-05-16,0.20833333333333334,0.29171115083516164,0.27084847120206956,-0.06251513786873622,24,6.791666666666667,2500.368725632334
2024-05-17,0.09090909090909091,0.4779416520905871,0.3515819579629111,-0.26067286705382015,11,5.7272727272727275,3537.4271818390243
2024-05-19,0.2857142857142857,0.4882672640923582,0.43251913280329124,-0.14680484708900554,35,5.228571428571429,3246.372501325503
2024-05-20,0.19047619047619047,0.31199279482127085,0.24947999487471767,-0.059003804398527225,21,6.714285714285714,4188.439312082308
2024-05-23,0.42857142857142855,0.7153965668864508,0.5647717071169035,-0.13620027854547495,14,4.214285714285714,4020.6693328105907
2024-05-26,0.05,0.09432074336324163,0.07215573773693548,-0.022155737736935487,20,7.8,3202.0985966725802
2024-05-27,1.0,0.9888296947074066,0.9705563170026417,0.029443682997358334,9,1.0,4129.378626509787
2024-05-29,0.55,0.6088941220443427,0.5042205535508514,0.04577944644914862,40,4.675,3388.9928093888034
2024-06-02,0.0,0.013277693669653355,0.010437693509514654,-0.010437693509514654,15,9.6,3001.415763375445
