date,daily_load,attempts,sends,mean_grade,max_grade,readiness
2024-04-18,361.0,17.0,5.0,4.294117647058823,7.0,0.0
2024-04-19,0.0,0.0,0.0,,,361.0
2024-04-20,327.0,19.0,12.0,3.8421052631578947,6.0,326.64630791098136
2024-04-21,0.0,0.0,0.0,,,622.5618018611514
2024-04-22,0.0,0.0,0.0,,,563.3172133638589
2024-04-23,1438.0,16.0,2.0,9.0,11.0,509.71049287536573
2024-04-24,285.0,7.0,3.0,6.142857142857143,8.0,1899.2051263191822
2024-04-25,0.0,0.0,0.0,,,2003.4718628193073
2024-04-26,508.0,16.0,7.0,5.375,7.0,1812.8163074611161
2024-04-27,0.0,0.0,0.0,,,2148.3040270165984
2024-04-28,0.0,0.0,0.0,,,1943.865868961953
2024-04-29,113.0,5.0,3.0,4.6,7.0,1758.8825738797605
2024-04-30,1486.0,22.0,3.0,7.636363636363637,11.0,1704.5027667778052
2024-05-01,0.0,0.0,0.0,,,3028.2978825263785
2024-05-02,0.0,0.0,0.0,,,2740.117237068932
2024-05-03,600.0,6.0,0.0,10.0,10.0,2479.3606059052795
2024-05-04,0.0,0.0,0.0,,,2843.418249027405
2024-05-05,593.0,28.0,21.0,4.25,7.0,2572.8312268462864
2024-05-06,0.0,0.0,0.0,,,2920.993964341884
2024-05-07,0.0,0.0,0.0,,,2643.0246367937316
2024-05-08,974.0,15.0,3.0,7.466666666666667,10.0,2391.50758816187
2024-05-09,0.0,0.0,0.0,,,3137.9255512857912
2024-05-10,549.0,21.0,18.0,5.0,7.0,2839.3124538145003
2024-05-11,0.0,0.0,0.0,,,3118.116149706857
2024-05-12,0.0,0.0,0.0,,,2821.38816603698
2024-05-13,744.0,14.0,3.0,6.857142857142857,9.0,2552.8975834341118
2024-05-14,0.0,0.0,0.0,,,3053.957257904762
2024-05-15,0.0,0.0,0.0,,,2763.334800034724
2024-05-16,1275.0,24.0,5.0,6.791666666666667,10.0,2500.368725632334
2024-05-17,387.0,11.0,1.0,5.7272727272727275,9.0,3537.427181839024
2024-05-18,0.0,0.0,0.0,,,3587.796477705443
2024-05-19,1251.0,35.0,10.0,5.228571428571429,10.0,3246.372501325503
2024-05-20,1121.0,21.0,4.0,6.714285714285714,9.0,4188.439312082308
2024-05-21,0.0,0.0,0.0,,,4910.856612744866
2024-05-22,0.0,0.0,0.0,,,4443.526817820883
2024-05-23,273.0,14.0,6.0,4.214285714285714,6.0,4020.6693328105907
2024-05-24,0.0,0.0,0.0,,,3911.052057876699
2024-05-25,0.0,0.0,0.0,,,3538.8662458533786
2024-05-26,1232.0,20.0,1.0,7.8,8.0,3202.0985966725802
2024-05-27,9.0,9.0,9.0,1.0,1.0,4129.378626509787
2024-05-28,0.0,0.0,0.0,,,3745.4162945039925
2024-05-29,985.0,40.0,22.0,4.675,10.0,3388.9928093888034
2024-05-30,0.0,0.0,0.0,,,4051.4875033897974
2024-05-31,0.0,0.0,0.0,,,3665.9374917721802
2024-06-01,0.0,0.0,0.0,,,3317.0774147363613
2024-06-02,1386.0,15.0,0.0,9.6,10.0,3001.415763375445
2024-06-03,0.0,0.0,0.0,,,4101.793289785066
2024-06-04,516.0,9.0,1.0,7.333333333333333,8.0,3711.456049646343
2024-06-05,522.0,10.0,2.0,7.2,8.0,3874.2643091159393
2024-06-06,0.0,0.0,0.0,,,4027.579314249337
2024-06-07,694.0,24.0,20.0,5.166666666666667,7.0,3644.3044676404106
2024-06-08,0.0,0.0,0.0,,,3991.503045036661
2024-06-09,1305.0,21.0,1.0,7.857142857142857,8.0,3611.661309353643
2024-06-10,0.0,0.0,0.0,,,4572.966293975924
2024-06-11,98.0,3.0,2.0,5.333333333333333,8.0,4137.791014206646
2024-06-12,0.0,0.0,0.0,,,3842.0281376671355
2024-06-13,985.0,16.0,1.0,7.8125,8.0,3476.4108201082367
2024-06-14,909.0,29.0,20.0,5.413793103448276,7.0,4130.58659049901
2024-06-15,0.0,0.0,0.0,,,4646.509305521081
2024-06-16,985.0,16.0,1.0,7.8125,8.0,4204.335482887755
2024-06-17,0.0,0.0,0.0,,,4789.240062893125
2024-06-18,920.0,14.0,2.0,8.0,9.0,4333.483612862591
2024-06-19,839.0,16.0,7.0,6.3125,10.0,4841.0981233637285
2024-06-20,0.0,0.0,0.0,,,5219.4067264031655
2024-06-21,0.0,0.0,0.0,,,4722.71450599816
2024-06-22,0.0,0.0,0.0,,,4273.288799728348
2024-06-23,0.0,0.0,0.0,,,3866.6316040681827
2024-06-24,0.0,0.0,0.0,,,3498.672957121295
2024-06-25,0.0,0.0,0.0,,,3165.7302050738676
2024-06-26,0.0,1.0,0.0,0.0,0.0,2864.471144957487
2024-06-27,0.0,0.0,0.0,,,2591.8806748418415
2024-06-28,0.0,0.0,0.0,,,2345.230617681192
2024-06-29,0.0,0.0,0.0,,,2122.0524168015286
2024-06-30,352.0,11.0,6.0,5.090909090909091,9.0,1920.112429755663
