tau,mean_log_loss,mean_auc,n_folds
10,0.37984187835832606,0.906760437887692,5
14,0.3799136721811761,0.9065866341553669,5
7,0.379980820287441,0.9063055550507629,5
21,0.3801764179132066,0.9072259802960476,5
5,0.38033794245917824,0.9059480722449227,5
30,0.38065382135280224,0.907378010042972,5
3,0.38139214916202807,0.9053443192980186,5
2,0.38265332874455604,0.9051172208767266,5
45,0.38283717049715504,0.9081311091868255,5
1,0.38500247070730287,0.9049180781714001,5
60,0.3861740921765563,0.9073509834732663,5
90,0.39273153282418016,0.907007561764129,5
120,0.3979453996978287,0.9062983550453116,5
